Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
25-Apr-65	19650425	-67.60269444	62.87380556	Mawson	550
30-Apr-65	19650430	-67.60269444	62.87380556	Mawson	580
5-May-65	19650505	-67.60269444	62.87380556	Mawson	610
10-May-65	19650510	-67.60269444	62.87380556	Mawson	1
14-May-65	19650514	-67.60269444	62.87380556	Mawson	1
15-May-65	19650515	-67.60269444	62.87380556	Mawson	50
16-May-65	19650516	-67.60269444	62.87380556	Mawson	100
18-May-65	19650518	-67.60269444	62.87380556	Mawson	200
20-May-65	19650520	-67.60269444	62.87380556	Mawson	280
25-May-65	19650525	-67.60269444	62.87380556	Mawson	370
30-May-65	19650530	-67.60269444	62.87380556	Mawson	420
10-Jun-65	19650610	-67.60269444	62.87380556	Mawson	530
20-Jun-65	19650620	-67.60269444	62.87380556	Mawson	680
30-Jun-65	19650630	-67.60269444	62.87380556	Mawson	840
10-Jul-65	19650710	-67.60269444	62.87380556	Mawson	940
21-Jul-65	19650721	-67.60269444	62.87380556	Mawson	1030
30-Jul-65	19650730	-67.60269444	62.87380556	Mawson	1120
9-Aug-65	19650809	-67.60269444	62.87380556	Mawson	1180
14-Aug-65	19650814	-67.60269444	62.87380556	Mawson	1210
19-Aug-65	19650819	-67.60269444	62.87380556	Mawson	1240
25-Aug-65	19650825	-67.60269444	62.87380556	Mawson	1260
30-Aug-65	19650830	-67.60269444	62.87380556	Mawson	1270
10-Sep-65	19650910	-67.60269444	62.87380556	Mawson	1300
20-Sep-65	19650920	-67.60269444	62.87380556	Mawson	1330
1-Oct-65	19651001	-67.60269444	62.87380556	Mawson	1350
10-Oct-65	19651010	-67.60269444	62.87380556	Mawson	1350
12-Oct-65	19651012	-67.60269444	62.87380556	Mawson	1350
13-Oct-65	19651013	-67.60269444	62.87380556	Mawson	1350
20-Oct-65	19651020	-67.60269444	62.87380556	Mawson	1340
25-Oct-65	19651025	-67.60269444	62.87380556	Mawson	1330
30-Oct-65	19651030	-67.60269444	62.87380556	Mawson	1320
1-Nov-65	19651101	-67.60269444	62.87380556	Mawson	1320
15-Nov-65	19651115	-67.60269444	62.87380556	Mawson	1310
7-Apr-67	19670407	-67.60269444	62.87380556	Mawson	1
9-Apr-67	19670409	-67.60269444	62.87380556	Mawson	40
10-Apr-67	19670410	-67.60269444	62.87380556	Mawson	80
12-Apr-67	19670412	-67.60269444	62.87380556	Mawson	120
13-Apr-67	19670413	-67.60269444	62.87380556	Mawson	150
15-Apr-67	19670415	-67.60269444	62.87380556	Mawson	200
19-Apr-67	19670419	-67.60269444	62.87380556	Mawson	380
20-Apr-67	19670420	-67.60269444	62.87380556	Mawson	420
30-Apr-67	19670430	-67.60269444	62.87380556	Mawson	460
3-May-67	19670503	-67.60269444	62.87380556	Mawson	520
11-May-67	19670511	-67.60269444	62.87380556	Mawson	560
17-May-67	19670517	-67.60269444	62.87380556	Mawson	630
25-May-67	19670525	-67.60269444	62.87380556	Mawson	700
